URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/bfarm/alpha-id,null,active,,AlphaId,Alpha-ID,"Alpha-ID Platzhalter-CodeSystem","ValueSet/valueset-alpha-id"
http://fhir.de/CodeSystem/bfarm/icd-10-gm,null,active,,ICD10GM,ICD-10-GM,"ICD-10-GM Platzhalter-CodeSystem","ValueSet/valueset-ICD-10-GM"
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.472",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
